start,end,text
0.0,2.0,you
30.0,32.0,you
60.0,62.0,you
90.0,92.0,you
120.0,122.0,you
150.0,152.0,you
180.0,182.0,you
210.0,212.0,you
240.0,242.0,you
270.0,272.0,you
300.0,302.0,you
330.0,332.0,you
360.0,362.0,you
390.0,392.0,you
420.0,422.0,you
450.0,452.0,you
480.0,482.0,you
510.0,512.0,you
540.0,542.0,you
570.0,572.0,you
600.0,602.0,you
630.0,632.0,you
660.0,662.0,you
690.0,692.0,you
720.0,722.0,you
750.0,752.0,you
780.0,782.0,you
810.0,812.0,you
840.0,842.0,you
870.0,872.0,you
900.0,902.0,you
930.0,932.0,you
960.0,962.0,you
990.0,992.0,you
1020.0,1022.0,you
1050.0,1052.0,you
1080.0,1082.0,you
1110.0,1112.0,you
1140.0,1142.0,you
1170.0,1172.0,you
1172.0,1174.0,you
1200.0,1202.0,you
1202.0,1204.0,you
1230.0,1232.0,you
1260.0,1262.0,you
1290.0,1292.0,you
1320.0,1322.0,you
1322.0,1324.0,you
1380.0,1382.0,you
1410.0,1412.0,you
1440.0,1442.0,you
1470.0,1472.0,you
1500.0,1502.0,you
1560.0,1568.0,you
1576.0,1578.0,you
1578.0,1582.0,these are
1582.0,1589.64,objects in Python. Okay. These four are container objects in Python inside which you can store
1589.64,1598.32,multiple elements. Okay. Account is asking how can open same page storage page to the
1598.32,1606.36,Jupyter node. Okay. Okay. Okay. Open the same file that you worked on yesterday. You
1606.36,1612.04,must have given some name. Open this from file option. They will be an open option. Click
1612.04,1617.7199999999998,on file and open and then look out for the same page name that you've given to your notebook
1617.7199999999998,1624.6799999999998,yesterday and the same page will open up. Okay. Look out for the name that you have given
1624.6799999999998,1632.9599999999998,and that eventual page will load up notebook. Okay. See. The people now quickly start understand
1632.96,1639.6000000000001,"that list, Apple, Z and dictionary are nothing but container objects in Python. Okay. Let's"
1639.6000000000001,1645.92,"just understand in a container, you can store multiple objects like let me say you have a"
1648.56,1653.1200000000001,"miss a closet. There is a closet near your home, right? There is a closet or an almerian"
1653.1200000000001,1660.08,"home inside which you can store multiple different elements, right? You can store multiple"
1660.08,1668.48,"different elements, right? In the same way container works in Python also where we can store"
1668.48,1675.28,"multiple elements together. Getting my point, this is what is meant by containers. Unless"
1675.28,1683.76,"tuple, set and dictionary are nothing but container objects in Python in which we can store multiple"
1683.76,1690.96,elements of what choice this is the basic meaning of containers. These are nothing but container
1690.96,1702.72,objects. We like to use containers and the very first container that we have been talking about
1702.72,1708.64,is list. I hope you understood what container basically means container basically means
1709.6000000000001,1727.92,"as very clear by its name can contain or you can say have multiple values, multiple values inside."
1727.92,1736.0,Okay. This is the basic meaning of container objects in Python. Now the very first container
1736.0,1740.96,objects in Python is called list. The very first type of container is called as list.
1742.56,1751.12,"See, now list is nothing, list is nothing but you can say a container which is ordered,"
1752.08,1761.12,"a container which is ordered and mutable. Now first understand the meaning of ordered. See,"
1761.9199999999998,1767.6799999999998,"what ordered basically means. Okay, when we go to a library, when we go to a library,"
1767.6799999999998,1775.1999999999998,"all the books are maintained in a proper way, right? You can go to the particular closet and you can"
1775.1999999999998,1780.8799999999999,"get the books because they are all kept in a particular order. Getting my point, in the same way,"
1781.4399999999998,1788.08,the list objects are stored. All the elements are contained in a particular order. The order does
1788.08,1794.3999999999999,"not change. The order is fixed. Okay. Now this is the meaning of ordered, ordered collection of data."
1794.3999999999999,1800.6399999999999,"The second point is mutable. What does mutable means? Mutable simply means, I'll write it here,"
1801.28,1806.6399999999999,changeable. That simply means changeable. Something that can be changed. Okay.
1807.6,1814.1599999999999,"This is understand list by a real life example. We all have used shopping cart, right? Tell me,"
1814.16,1823.3600000000001,"have you have all of you used shopping cart, Amazon cart to keep your items of which I have"
1823.3600000000001,1830.88,"choice, have you kept it? Right? Other people, all of you have used cart, right? Shopping cart,"
1831.6000000000001,1839.76,"Amazon cart, right? Okay. Other people, yes. See, so what happens in those shopping cart?"
1840.64,1846.96,So the shopping cart is like a big container. It is like a list in which there is a particular order.
1846.96,1852.8799999999999,"All the elements are kept one by one. Okay. All the elements are kept one by one, but"
1853.44,1862.64,but the elements of the cart can be added. A new element can be added. Then a new element that
1862.64,1868.16,"has been added can be removed also. You can add any element at any point. Getting my point,"
1869.1200000000001,1876.0,that that means it is ordered also. It is changeable also. It totally depends upon our needs.
1876.0,1881.44,"In what way we want to change the elements of the cart. In the same way, list also works."
1882.16,1889.1200000000001,"List in Python is similar to a cart, Amazon cart, which is ordered. The elements of the list"
1889.1200000000001,1895.44,are ordered and they are mutable also. That means the elements of the list can be changed
1896.16,1903.3600000000001,"depending upon our needs. Okay. Now, let us quickly understand the code. How we write the code for"
1903.3600000000001,1910.16,list? I hope you understood what list basically is. Now you have a basic idea of what list basically is.
1911.92,1917.28,I will get what list basically is so that we can go with the code and when I will be writing
1917.28,1923.68,"the codes, things will be clear to you. Okay guys. I hope that you got a basic idea of what is"
1923.68,1933.92,"list basically is. Okay. It is like a Amazon cart. See, whatever these four things are there,"
